EPISODE, MAX_X, MAX_SCORE
0, -0.36991149357880776, -200.0
1, -0.4447324742432945, -200.0
2, -0.4524086191265268, -200.0
3, -0.45147409936652494, -200.0
4, -0.43881314898428647, -200.0
5, -0.431902330380476, -200.0
6, -0.468927736625805, -200.0
7, -0.4527152984038036, -200.0
8, -0.39206234617423236, -200.0
9, -0.4489761425923113, -200.0
10, -0.46415188172397137, -200.0
11, -0.40614687461737253, -200.0
12, -0.45250550693781666, -200.0
13, -0.39007964630760056, -200.0
14, -0.40686786482782994, -200.0
15, -0.4676632148317642, -200.0
16, -0.25432649231712917, -200.0
17, -0.4619681836658873, -200.0
18, -0.4801878356558429, -200.0
19, -0.48371761739633756, -200.0
