EPISODE, MAX_X, MAX_SCORE
0, 0.5216077120368507, -143.0
1, 0.5216077120368507, -138.0
2, 0.5216077120368507, -143.0
3, 0.4316355121203929, -140.0
4, 0.5048171641963956, -148.0
5, 0.5246838093551015, -143.0
6, 0.5178121122227458, -150.0
7, 0.5216077120368507, -138.0
8, 0.5015806828977255, -145.0
9, 0.5027238440253937, -91.0
10, 0.5094894157932925, -138.0
11, 0.5178625568223014, -152.0
12, 0.5216077120368507, -141.0
13, 0.5216077120368507, -140.0
14, 0.4296286484963086, -140.0
15, 0.5216077120368507, -146.0
16, 0.5343731579824029, -149.0
17, 0.5216077120368507, -138.0
18, -0.03739429401215684, -185.0
19, 0.5039591650462053, -139.0
