EPISODE, MAX_X, MAX_SCORE
0, -0.42852248121831965, -200.0
1, -0.43818442764504556, -200.0
2, -0.45706011212858083, -200.0
3, -0.4393244326780264, -200.0
4, -0.43242776415723894, -200.0
5, -0.4133238726737903, -200.0
6, -0.40367803703344163, -200.0
7, -0.4784760998412604, -200.0
8, -0.46011566364807105, -200.0
9, -0.41314453947979135, -200.0
10, -0.4730212330637739, -200.0
11, -0.4648815326702014, -200.0
12, -0.45641671814023005, -200.0
13, -0.4489912291040647, -200.0
14, -0.4510508441630659, -200.0
15, -0.4969568167974988, -200.0
16, -0.481788475349004, -200.0
17, -0.4559514177964366, -200.0
18, -0.4109137673190036, -200.0
19, -0.4436759171556845, -200.0
