EPISODE, MAX_X, MAX_SCORE
0, -0.4195597699952285, -200.0
1, -0.40571118431803016, -200.0
2, -0.4111151492215962, -200.0
3, -0.3816699456448829, -200.0
4, -0.4132188892012607, -200.0
5, -0.4498023520154921, -200.0
6, -0.3555526825060631, -200.0
7, -0.4302568089167294, -200.0
8, -0.3728561511551146, -200.0
9, -0.46818048185811706, -200.0
10, -0.412461780971454, -200.0
11, -0.43827541012520094, -200.0
12, -0.46655717279164666, -200.0
13, -0.4567182961122831, -200.0
14, -0.40336219689223873, -200.0
15, -0.3991056103334008, -200.0
16, -0.3326074830092342, -200.0
17, -0.44488286416715844, -200.0
18, -0.4229383136955696, -200.0
19, -0.4592479461417062, -200.0
