EPISODE, MAX_X, MAX_SCORE
0, -0.14900861918233504, -200.0
1, -0.40196960658353764, -200.0
2, -0.4392972634163845, -200.0
3, -0.4319773292940667, -200.0
4, -0.43940831938177727, -200.0
5, -0.46135046224560516, -200.0
6, -0.3555108909909154, -200.0
7, -0.23880771067551548, -200.0
8, -0.4609804230078249, -200.0
9, -0.14406937411743198, -200.0
10, -0.48370283100081907, -200.0
11, -0.4913656092052122, -200.0
12, -0.36582789752319517, -200.0
13, -0.296856056620202, -200.0
14, -0.4612565046376521, -200.0
15, -0.44086716304817225, -200.0
16, -0.4779581564409429, -200.0
17, -0.4589284816509209, -200.0
18, -0.27880618497913906, -200.0
19, -0.47458801271239387, -200.0
