EPISODE, MAX_X, MAX_SCORE
0, 0.1898925607845715, -169.0
1, -0.4897992231967679, -200.0
2, -0.4658586353937642, -200.0
3, -0.2638827499641481, -200.0
4, 0.12405307408430553, -191.0
5, -0.45456481480291916, -200.0
6, 0.13317838373513066, -163.0
7, 0.03067073131117343, -175.0
8, -0.4642045726702015, -200.0
9, -0.23493795556632055, -200.0
10, -0.4785833120076607, -200.0
11, 0.208857180905647, -169.0
12, -0.16960739860518442, -200.0
13, -0.4874824461866016, -200.0
14, -0.47310014522979305, -200.0
15, -0.4624271226566403, -200.0
16, 0.08604318676578573, -171.0
17, -0.41420244149784724, -200.0
18, 0.1876588452650576, -169.0
19, -0.47477728142339976, -200.0
