EPISODE, MAX_X, MAX_SCORE
0, -0.3206964024880564, -200.0
1, -0.32188772762884477, -200.0
2, -0.29647872739681125, -200.0
3, -0.3272458114920017, -200.0
4, -0.3417070932163935, -200.0
5, -0.3856430178119003, -200.0
6, -0.3224684877781696, -200.0
7, -0.3057518881359102, -200.0
8, -0.33163917423185774, -200.0
9, -0.3566535872159669, -200.0
10, -0.30946588836809624, -200.0
11, -0.31031846609910285, -200.0
12, -0.31943015463346724, -200.0
13, -0.3459565919501849, -200.0
14, -0.3361235533845011, -200.0
15, -0.32633833968527515, -200.0
16, -0.3331917337564266, -200.0
17, -0.3204695719330567, -200.0
18, -0.30115947655743025, -200.0
19, -0.31632929233806356, -200.0
