EPISODE, MAX_X, MAX_SCORE
0, -0.4796342910653346, -200.0
1, -0.4655603797958421, -200.0
2, -0.45886430177435567, -200.0
3, -0.3320701563217529, -200.0
4, -0.40929115818627754, -200.0
5, -0.3948404737998133, -200.0
6, -0.4381513506416966, -200.0
7, -0.41047600378531035, -200.0
8, -0.45896537153892214, -200.0
9, -0.3979962025865935, -200.0
10, -0.44154248936625584, -200.0
11, -0.4313260940720091, -200.0
12, -0.41062563083947407, -200.0
13, -0.28670468646463965, -200.0
14, -0.3468361344739678, -200.0
15, -0.4565722481707965, -200.0
16, -0.45368294630422007, -200.0
17, -0.3985796486642935, -200.0
18, -0.48798455039675115, -200.0
19, -0.3255765581277001, -200.0
