EPISODE, MAX_X, MAX_SCORE
0, -0.39275198535908873, -200.0
1, -0.45219403416516113, -200.0
2, -0.4056462394993029, -200.0
3, -0.4520137856421492, -200.0
4, -0.44292495775812396, -200.0
5, -0.41215181671755313, -200.0
6, -0.3595519795002658, -200.0
7, -0.43662984052320963, -200.0
8, -0.4303339196141965, -200.0
9, -0.4104798715986681, -200.0
10, -0.44291237257932525, -200.0
11, -0.4686441225319569, -200.0
12, -0.37833296447826553, -200.0
13, -0.4041957363982533, -200.0
14, -0.4659984025996615, -200.0
15, -0.40806788741051137, -200.0
16, -0.41727326924864805, -200.0
17, -0.42288647240648675, -200.0
18, -0.3774230277567341, -200.0
19, -0.3911500996920691, -200.0
