EPISODE, MAX_X, MAX_SCORE
0, -0.3824826544128305, -200.0
1, -0.3867961430898151, -200.0
2, -0.45559289729529406, -200.0
3, -0.4772317259430645, -200.0
4, -0.4510748681693534, -200.0
5, -0.3871219524151438, -200.0
6, -0.3925527131500965, -200.0
7, -0.420277601126154, -200.0
8, -0.33840471731235755, -200.0
9, -0.3992133247828662, -200.0
10, -0.3902248596706464, -200.0
11, -0.45982939660976463, -200.0
12, -0.3914852711082306, -200.0
13, -0.3799206495494346, -200.0
14, -0.47970046197965116, -200.0
15, -0.34323869747060765, -200.0
16, -0.4449780339507086, -200.0
17, -0.4184481320882841, -200.0
18, -0.4310516953564078, -200.0
19, -0.3938328093266952, -200.0
