EPISODE, MAX_X, MAX_SCORE
0, -0.34590293263008837, -200.0
1, -0.3908347373255608, -200.0
2, -0.15018973658872486, -200.0
3, -0.3200571569917206, -200.0
4, -0.34600541266510326, -200.0
5, -0.35997381467775963, -200.0
6, -0.33978929133857827, -200.0
7, -0.24735501946550004, -200.0
8, -0.22405157397020703, -200.0
9, -0.29148576770136786, -200.0
10, -0.3342279753938326, -200.0
11, -0.34357869093678917, -200.0
12, -0.19757156135580367, -200.0
13, -0.24384075910147646, -200.0
14, -0.1889730034326021, -200.0
15, -0.3187775745911582, -200.0
16, -0.3192223113275516, -200.0
17, -0.3540224400236141, -200.0
18, -0.29369473232155957, -200.0
19, -0.2754124586324513, -200.0
