EPISODE, MAX_X, MAX_SCORE
0, 0.2602785887086286, -182.0
1, -0.3711977761564931, -200.0
2, 0.413661083717236, -158.0
3, 0.3797855455840079, -174.0
4, 0.009436517155915577, -179.0
5, -0.03492267108467502, -184.0
6, 0.47509995116856796, -182.0
7, 0.5166936005672347, -164.0
8, -0.37038224765869776, -200.0
9, 0.2079748840219499, -159.0
10, -0.34342847049983743, -200.0
11, -0.3608960816621277, -200.0
12, 0.47228068319103933, -162.0
13, -0.05076703069078214, -197.0
14, -0.09172199539925405, -198.0
15, 0.27157170265805375, -157.0
16, -0.3973585934842833, -200.0
17, -0.07727130681096035, -197.0
18, 0.5072251014082358, -163.0
19, 0.18150840167163465, -163.0
