EPISODE, MAX_X, MAX_SCORE
0, 0.5249677007890025, -139.0
1, 0.5049804556774313, -138.0
2, 0.5249677007890025, -120.0
3, 0.5249677007890025, -120.0
4, 0.5249677007890025, -119.0
5, 0.5249677007890025, -143.0
6, 0.5379927963706255, -125.0
7, 0.5249677007890025, -125.0
8, 0.5079409935834387, -126.0
9, 0.5087098871111931, -68.0
10, 0.5249677007890025, -137.0
11, 0.5008809090229321, -68.0
12, 0.5249677007890025, -126.0
13, 0.5249677007890025, -148.0
14, 0.5249677007890025, -143.0
15, 0.5249677007890025, -125.0
16, 0.5249677007890025, -126.0
17, 0.5249677007890025, -121.0
18, 0.5249677007890025, -125.0
19, 0.5249677007890025, -136.0
