EPISODE, MAX_X, MAX_SCORE
0, -0.46152341545748776, -200.0
1, -0.4377284031596193, -200.0
2, -0.4221101411197037, -200.0
3, -0.40146685333553983, -200.0
4, -0.4038455000870113, -200.0
5, -0.35739716305110975, -200.0
6, -0.40726243407195434, -200.0
7, -0.43111494564629677, -200.0
8, -0.3973094103985448, -200.0
9, -0.33932481994642316, -200.0
10, -0.44980511122645056, -200.0
11, -0.3868640973665311, -200.0
12, -0.3882395513761575, -200.0
13, -0.4398837475936246, -200.0
14, -0.4664442726250075, -200.0
15, -0.4512932551400549, -200.0
16, -0.46831238107357503, -200.0
17, -0.37171530597114716, -200.0
18, -0.4652723985499924, -200.0
19, -0.478530745138065, -200.0
