EPISODE, MAX_X, MAX_SCORE
0, -0.30190358076816814, -200.0
1, -0.492560008326207, -200.0
2, -0.39997548383957865, -200.0
3, -0.5983063858281518, -200.0
4, -0.3025837050566609, -200.0
5, -0.3138258133302917, -200.0
6, -0.2827329321179513, -200.0
7, -0.33032247590542346, -200.0
8, -0.3640042005651246, -200.0
9, -0.2996122149489969, -200.0
10, -0.5872451915854996, -200.0
11, -0.2918787950613486, -200.0
12, -0.41273871901673753, -200.0
13, -0.35595270750602925, -200.0
14, -0.3384661180084252, -200.0
15, -0.5930919003681601, -200.0
16, -0.30811106232528446, -200.0
17, -0.4084119065098802, -200.0
18, -0.4515408588756861, -200.0
19, -0.4604586295898636, -200.0
