EPISODE, MAX_X, MAX_SCORE
0, 0.28680433602098676, -166.0
1, 0.2869265201191777, -165.0
2, 0.2543991413521759, -167.0
3, 0.2915995337116258, -166.0
4, 0.2010291214405656, -170.0
5, 0.031347645253119394, -180.0
6, 0.19860508695756587, -170.0
7, 0.23379166691019648, -161.0
8, -0.022465815487587436, -187.0
9, 0.19160231248983328, -171.0
10, 0.3139984820589767, -161.0
11, 0.5244734442643542, -150.0
12, 0.3357339026433117, -161.0
13, 0.055701233453935003, -181.0
14, 0.4408748747720857, -149.0
15, 0.20016609398811389, -171.0
16, 0.2937629439342236, -164.0
17, 0.4349634029521779, -149.0
18, 0.3603209366118546, -158.0
19, 0.3360657604903723, -159.0
